Commit_Hash,Date,Placed_Timestamp,Minutes_to_Kickoff,Competition,Home,Away,Side,Signal,Bookmaker,Odds,Conviction,Model_Prob,Fair_Odds,Allocation,Kelly_Pct,Closing_Odds,CLV_Pct,Home_Score,Away_Score,Settlement,Net_PnL
b2da25b7552dece43da04fd1cd000313a02cf8f9,2026-07-25 02:15,2026-07-24 23:50,145,SUI1,ETC,AAU,,X,PIN,4.14,3,0.65,1.54,7,0.1346,3.62,0.1436,3,0,Lose,-7
b2da25b7552dece43da04fd1cd000313a02cf8f9,2026-07-25 02:15,2026-07-24 23:50,145,SUI1,WIN,YSI,,1,PIN,2.25,3,0.65,1.54,4,0.0925,2.55,-0.1176,2,2,Lose,-4
b2da25b7552dece43da04fd1cd000313a02cf8f9,2026-07-25 02:30,2026-07-24 23:50,160,ROU1,AGS,PLO,,1,PIN,2.11,2,0.5,2,1,0.0124,1.95,0.0821,1,0,Win,1.11
b2da25b7552dece43da04fd1cd000313a02cf8f9,2026-07-25 02:30,2026-07-24 23:50,160,POL1,POG,LEW,,1,PIN,2.81,2,0.55,1.82,3,0.0753,2.61,0.0766,0,1,Lose,-3
b2da25b7552dece43da04fd1cd000313a02cf8f9,2026-07-25 02:45,2026-07-24 23:50,175,IRL2,KER,FHA,,O2.5,PIN,1.87,3,0.9,1.11,10,0.1963,1.83,0.0219,2,1,Win,-8.7
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 02:45,2026-07-25 00:58,107,IRL2,TRU,AHT,,2,PIN,2.63,3,0.8,1.25,8,0.1693,2.59,0.0154,2,1,Lose,-8
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 03:00,2026-07-25 00:58,122,IRL1,SJP,DDK,,O3,PIN,2.05,3,0.8,1.25,7,0.1524,1.90,0.0789,1,1,Lose,-7
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 03:45,2026-07-25 00:58,167,ARG1,GME,CCO,,O2,PIN,2.03,3,0.7,1.43,5,0.1022,2.11,-0.0379,1,0,Lose,-5
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 04:00,2026-07-25 00:58,182,ISL1,VIR,KEF,Away,+1.75,PIN,1.96,3,0.7,1.43,5,0.0969,2.01,-0.0249,5,1,Lose,-5
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 06:00,2026-07-25 00:58,302,ARG1,VEL,INS,,2,PIN,4.14,1,0.5,2,4,0.0852,4.18,-0.0096,1,0,Lose,-4
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 06:00,2026-07-25 00:58,302,ARG1,RAC,GLP,,1,PIN,1.94,3,0.9,1.11,10,0.1984,1.81,0.0718,2,1,Win,9.4
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 08:15,2026-07-25 00:58,437,ARG1,PLA,USF,,2,PIN,3.5,1,0.5,2,4,0.075,3.33,0.0511,2,2,Lose,-4
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 08:15,2026-07-25 00:58,437,ARG1,HUR,BNF,,2,PIN,4.98,1,0.5,2,4,0.0936,4.81,0.0353,1,0,Lose,-4
c7e6b4077427bc3106e37b201bdf98f6967089fd,2026-07-25 08:30,2026-07-25 00:58,452,CHL1,CCL,LIM,,-1.25,PIN,2.12,3,0.9,1.11,10,0.2027,1.91,0.1099,3,1,Win,11.2
43cfe770848d1a58123c7299f9764df1b62b2bac,2026-07-25 18:30,2026-07-25 17:51,39,KOR1,POH,JEO,,2,PIN,2.46,1,0.4,2.5,1,0,2.47,-0.004,0,2,✅ Win,1.46
